height,time,proposer_hex,proposer_moniker
60362646,2026-04-27T14:05:43.247681198Z,C8969171F9B5A3354C712A20F007CDE0648C990F,C89691…990F
60362647,2026-04-27T14:05:44.05503059Z,D24B7A32413338C2AA26FC0016D91FBE73BB5EAE,D24B7A…5EAE
60362648,2026-04-27T14:05:44.954808169Z,99063B919404B6950A79A6A31E370378FE07020D,99063B…020D
60362649,2026-04-27T14:05:45.795408394Z,19EC0A155A5BE755E76D0059EF730EBCA122B4F1,19EC0A…B4F1
60362650,2026-04-27T14:05:46.680050308Z,9D0281786872D3BBE53C58FBECA118D86FA82177,9D0281…2177
60362651,2026-04-27T14:05:48.677370276Z,9CBEC8CBD4ED3AAD4BB2B0346EFC86A6C41F9160,9CBEC8…9160
60362652,2026-04-27T14:05:49.492751621Z,16A169951A878247DBE258FDDC71638F6606D156,16A169…D156
60362653,2026-04-27T14:05:50.419068794Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362654,2026-04-27T14:05:51.320524943Z,5F999A4BE254869925A7F2FEA04D7B3B836CFF0B,5F999A…FF0B
60362655,2026-04-27T14:05:52.170288079Z,F9A968A405FB0429410AE5165E5F2193271E678A,F9A968…678A
60362656,2026-04-27T14:05:54.155874097Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362657,2026-04-27T14:05:55.07145824Z,17386B308EF9670CDD412FB2F3C09C5B875FB8B8,17386B…B8B8
60362658,2026-04-27T14:05:56.121160868Z,583AE736E67DF9D72FE87B9AA7D3210D3B4B0E5A,583AE7…0E5A
60362659,2026-04-27T14:05:56.968403711Z,7EDB006522610C58283E30644A14F27BCC0D32ED,7EDB00…32ED
60362660,2026-04-27T14:06:00.593019002Z,7EDB006522610C58283E30644A14F27BCC0D32ED,7EDB00…32ED
60362661,2026-04-27T14:06:01.412482414Z,51D7D05A659208A6576190AEBBE8F07603851515,51D7D0…1515
60362662,2026-04-27T14:06:05.111833146Z,51D7D05A659208A6576190AEBBE8F07603851515,51D7D0…1515
60362663,2026-04-27T14:06:06.06452978Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362664,2026-04-27T14:06:06.983851497Z,894C56D6CFC3A8E09EB6D1A2E33467C4CF77C0F5,894C56…C0F5
60362665,2026-04-27T14:06:07.827480469Z,9CC5FB13EC1448FD164DC81ED49841F4DBF0C347,9CC5FB…C347
60362666,2026-04-27T14:06:08.801006592Z,96DA375D8A293F8F6580DA36EA2376CD89AB20C4,96DA37…20C4
60362667,2026-04-27T14:06:09.630656689Z,C8969171F9B5A3354C712A20F007CDE0648C990F,C89691…990F
60362668,2026-04-27T14:06:10.52083056Z,4B56B7D3FB47183A3CED7AE24C9AA0F0DEB0BB04,4B56B7…BB04
60362669,2026-04-27T14:06:11.495012262Z,04C83AA20F7563BBCBCF6AA150EF6B0C81808DAA,04C83A…8DAA
60362670,2026-04-27T14:06:12.61708128Z,2022FE8CC49E48630C76160E11A880459219D244,2022FE…D244
60362671,2026-04-27T14:06:13.571558902Z,CDC018822747024BEAFD10A45ABECC7AC19CBAB0,CDC018…BAB0
60362672,2026-04-27T14:06:14.442155529Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362673,2026-04-27T14:06:15.414652052Z,95B002DE67707313D123D06492F1A7A58478E546,95B002…E546
60362674,2026-04-27T14:06:16.669288492Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362675,2026-04-27T14:06:17.650416285Z,72B1489EFB57A680577A838A5BAAEBE162A7C802,72B148…C802
60362676,2026-04-27T14:06:18.987526701Z,97AFE45395B74E784C88D45E5CCA2995019FAE08,97AFE4…AE08
60362677,2026-04-27T14:06:19.93254578Z,39327692C258A57970EF53F0AA4D3C00F95988B8,393276…88B8
60362678,2026-04-27T14:06:20.865659108Z,C71EF3C044998473B4CECCAE99771976F198D4A5,C71EF3…D4A5
60362679,2026-04-27T14:06:22.904364202Z,943547CACB29C55797E121ACB4E586C49D9D39FD,943547…39FD
60362680,2026-04-27T14:06:23.70931285Z,A9C4E0E2AF00183DA11434ED413219905E9A868D,A9C4E0…868D
60362681,2026-04-27T14:06:24.52608637Z,17386B308EF9670CDD412FB2F3C09C5B875FB8B8,17386B…B8B8
60362682,2026-04-27T14:06:25.608996829Z,966FD89B1DB51535F2D898CF9B0F14DA374EFB96,966FD8…FB96
60362683,2026-04-27T14:06:26.555040631Z,D24B7A32413338C2AA26FC0016D91FBE73BB5EAE,D24B7A…5EAE
60362684,2026-04-27T14:06:27.499404289Z,26F7777BD52918AE71801022B0E2DEED97DDD504,26F777…D504
60362685,2026-04-27T14:06:28.332877158Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362686,2026-04-27T14:06:29.130176245Z,7341E970B9B3EFF82B2060D3469FC50D7AF04146,7341E9…4146
60362687,2026-04-27T14:06:30.119677103Z,E08FBA0FE999707D1496BAAB743EAB27784DC1C5,E08FBA…C1C5
60362688,2026-04-27T14:06:31.075123645Z,46DEA137CFB10BC419B2577AA9A58718680E18BA,46DEA1…18BA
60362689,2026-04-27T14:06:31.927670003Z,9F8EC2EF581CE25630C819F19B5484039E748D1A,9F8EC2…8D1A
60362690,2026-04-27T14:06:32.780013237Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362691,2026-04-27T14:06:33.647504534Z,C8969171F9B5A3354C712A20F007CDE0648C990F,C89691…990F
60362692,2026-04-27T14:06:35.057620498Z,0A70912D18E13D78CB32E6322A4E57F861E6C3C8,0A7091…C3C8
60362693,2026-04-27T14:06:35.893640907Z,4E154C9288E31436BA814DD92D17C4ED6CEFD3F1,4E154C…D3F1
60362694,2026-04-27T14:06:36.670202291Z,C9E615289D1D92E50292C3B0BD8358D9B2E40290,C9E615…0290
60362695,2026-04-27T14:06:37.587736715Z,C71EF3C044998473B4CECCAE99771976F198D4A5,C71EF3…D4A5
60362696,2026-04-27T14:06:39.632046308Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362697,2026-04-27T14:06:40.511010779Z,19EC0A155A5BE755E76D0059EF730EBCA122B4F1,19EC0A…B4F1
60362698,2026-04-27T14:06:41.348394784Z,9CBEC8CBD4ED3AAD4BB2B0346EFC86A6C41F9160,9CBEC8…9160
60362699,2026-04-27T14:06:42.198338413Z,9D0281786872D3BBE53C58FBECA118D86FA82177,9D0281…2177
60362700,2026-04-27T14:06:44.196866838Z,99063B919404B6950A79A6A31E370378FE07020D,99063B…020D
60362701,2026-04-27T14:06:44.980586378Z,6239A498C22DF3EC3FB0CA2F96D15535F6F3387A,6239A4…387A
60362702,2026-04-27T14:06:45.894409758Z,F9A968A405FB0429410AE5165E5F2193271E678A,F9A968…678A
60362703,2026-04-27T14:06:47.895331709Z,901FD122CC512EF13DE8E1A3D7953BFDDC0786D6,901FD1…86D6
60362704,2026-04-27T14:06:48.702380237Z,51D7D05A659208A6576190AEBBE8F07603851515,51D7D0…1515
60362705,2026-04-27T14:06:49.56141887Z,CDC018822747024BEAFD10A45ABECC7AC19CBAB0,CDC018…BAB0
60362706,2026-04-27T14:06:50.364745991Z,06F45C36FCB957E55D923A6D4E905C2D715115AD,06F45C…15AD
60362707,2026-04-27T14:06:51.179481857Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362708,2026-04-27T14:06:52.048596324Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362709,2026-04-27T14:06:52.908006444Z,17386B308EF9670CDD412FB2F3C09C5B875FB8B8,17386B…B8B8
60362710,2026-04-27T14:06:53.969835441Z,16A169951A878247DBE258FDDC71638F6606D156,16A169…D156
60362711,2026-04-27T14:06:54.914138112Z,5F999A4BE254869925A7F2FEA04D7B3B836CFF0B,5F999A…FF0B
60362712,2026-04-27T14:06:55.751159202Z,72B1489EFB57A680577A838A5BAAEBE162A7C802,72B148…C802
60362713,2026-04-27T14:07:00.455972139Z,72B1489EFB57A680577A838A5BAAEBE162A7C802,72B148…C802
60362714,2026-04-27T14:07:01.342596294Z,AB55E9D9EA6B589C3E9EF7D84458285EC28CE5E9,AB55E9…E5E9
60362715,2026-04-27T14:07:02.251738564Z,C8969171F9B5A3354C712A20F007CDE0648C990F,C89691…990F
60362716,2026-04-27T14:07:03.124858036Z,41B543E91479A95CD5CA9F109C26DFAC149126FA,41B543…26FA
60362717,2026-04-27T14:07:03.97340201Z,2022FE8CC49E48630C76160E11A880459219D244,2022FE…D244
60362718,2026-04-27T14:07:04.910951483Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362719,2026-04-27T14:07:05.751131235Z,0F8C8B45D09F25CD279CFA53C01B9BA7A3FC616E,0F8C8B…616E
60362720,2026-04-27T14:07:06.662702994Z,39327692C258A57970EF53F0AA4D3C00F95988B8,393276…88B8
60362721,2026-04-27T14:07:07.646909549Z,7EDB006522610C58283E30644A14F27BCC0D32ED,7EDB00…32ED
60362722,2026-04-27T14:07:08.527775991Z,8B1D5676F4C0C871A0C7864850D451D6A8AC8E3B,8B1D56…8E3B
60362723,2026-04-27T14:07:09.445917456Z,6E705424231DCEEC337EB451BC4C1D2C5FBA48C9,6E7054…48C9
60362724,2026-04-27T14:07:10.398075217Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362725,2026-04-27T14:07:11.291791899Z,D24B7A32413338C2AA26FC0016D91FBE73BB5EAE,D24B7A…5EAE
60362726,2026-04-27T14:07:12.16450399Z,97AFE45395B74E784C88D45E5CCA2995019FAE08,97AFE4…AE08
60362727,2026-04-27T14:07:13.013264326Z,7D53D76F2DB86BE30A9B26CADEA69078531AB9BB,7D53D7…B9BB
60362728,2026-04-27T14:07:13.878806496Z,4D5ED32FFAA70B269E78400BA7DA12B8D5974BE7,4D5ED3…4BE7
60362729,2026-04-27T14:07:14.795971505Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362730,2026-04-27T14:07:15.643478537Z,C71EF3C044998473B4CECCAE99771976F198D4A5,C71EF3…D4A5
60362731,2026-04-27T14:07:17.723140588Z,17386B308EF9670CDD412FB2F3C09C5B875FB8B8,17386B…B8B8
60362732,2026-04-27T14:07:18.733398914Z,7341E970B9B3EFF82B2060D3469FC50D7AF04146,7341E9…4146
60362733,2026-04-27T14:07:22.42780795Z,7341E970B9B3EFF82B2060D3469FC50D7AF04146,7341E9…4146
60362734,2026-04-27T14:07:23.410732181Z,583AE736E67DF9D72FE87B9AA7D3210D3B4B0E5A,583AE7…0E5A
60362735,2026-04-27T14:07:24.251713265Z,95B002DE67707313D123D06492F1A7A58478E546,95B002…E546
60362736,2026-04-27T14:07:25.100659024Z,4B56B7D3FB47183A3CED7AE24C9AA0F0DEB0BB04,4B56B7…BB04
60362737,2026-04-27T14:07:26.098086406Z,CDC018822747024BEAFD10A45ABECC7AC19CBAB0,CDC018…BAB0
60362738,2026-04-27T14:07:26.931497012Z,E08FBA0FE999707D1496BAAB743EAB27784DC1C5,E08FBA…C1C5
60362739,2026-04-27T14:07:27.901897685Z,C8969171F9B5A3354C712A20F007CDE0648C990F,C89691…990F
60362740,2026-04-27T14:07:28.787391369Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362741,2026-04-27T14:07:29.633710127Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362742,2026-04-27T14:07:30.566426791Z,26F7777BD52918AE71801022B0E2DEED97DDD504,26F777…D504
60362743,2026-04-27T14:07:31.466707382Z,0CEB917DE4DF1C4B4F8EDFC4ACE6FD6D39F1E61E,0CEB91…E61E
60362744,2026-04-27T14:07:32.34016844Z,51D7D05A659208A6576190AEBBE8F07603851515,51D7D0…1515
60362745,2026-04-27T14:07:33.207897102Z,F9A968A405FB0429410AE5165E5F2193271E678A,F9A968…678A
60362746,2026-04-27T14:07:35.139860126Z,C71EF3C044998473B4CECCAE99771976F198D4A5,C71EF3…D4A5
60362747,2026-04-27T14:07:37.177954121Z,19EC0A155A5BE755E76D0059EF730EBCA122B4F1,19EC0A…B4F1
60362748,2026-04-27T14:07:38.064573208Z,9CBEC8CBD4ED3AAD4BB2B0346EFC86A6C41F9160,9CBEC8…9160
60362749,2026-04-27T14:07:38.976282675Z,9D0281786872D3BBE53C58FBECA118D86FA82177,9D0281…2177
60362750,2026-04-27T14:07:40.976067626Z,99063B919404B6950A79A6A31E370378FE07020D,99063B…020D
60362751,2026-04-27T14:07:41.799389728Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362752,2026-04-27T14:07:42.657618191Z,72B1489EFB57A680577A838A5BAAEBE162A7C802,72B148…C802
60362753,2026-04-27T14:07:43.574627564Z,46DEA137CFB10BC419B2577AA9A58718680E18BA,46DEA1…18BA
60362754,2026-04-27T14:07:44.390687729Z,E06DADEB413829558F7C95339FFB61499C5A1BB9,E06DAD…1BB9
60362755,2026-04-27T14:07:45.222219277Z,17386B308EF9670CDD412FB2F3C09C5B875FB8B8,17386B…B8B8
60362756,2026-04-27T14:07:46.223166972Z,04C83AA20F7563BBCBCF6AA150EF6B0C81808DAA,04C83A…8DAA
60362757,2026-04-27T14:07:47.287474567Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362758,2026-04-27T14:07:48.181826145Z,0614088C41E6A85FB5BF344552A5120E5A0139FC,061408…39FC
60362759,2026-04-27T14:07:49.011992228Z,2022FE8CC49E48630C76160E11A880459219D244,2022FE…D244
60362760,2026-04-27T14:07:50.154922157Z,0C438AB31C0ACFB5D301F98DB678B6C9CE217E04,0C438A…7E04
60362761,2026-04-27T14:07:50.974289492Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362762,2026-04-27T14:07:51.806563756Z,C71EF3C044998473B4CECCAE99771976F198D4A5,C71EF3…D4A5
60362763,2026-04-27T14:07:53.984164987Z,C8969171F9B5A3354C712A20F007CDE0648C990F,C89691…990F
60362764,2026-04-27T14:07:54.833068458Z,39327692C258A57970EF53F0AA4D3C00F95988B8,393276…88B8
60362765,2026-04-27T14:07:55.832011418Z,D24B7A32413338C2AA26FC0016D91FBE73BB5EAE,D24B7A…5EAE
60362766,2026-04-27T14:07:56.774603053Z,5F999A4BE254869925A7F2FEA04D7B3B836CFF0B,5F999A…FF0B
60362767,2026-04-27T14:07:57.620940394Z,C9E615289D1D92E50292C3B0BD8358D9B2E40290,C9E615…0290
60362768,2026-04-27T14:07:58.487949309Z,CDC018822747024BEAFD10A45ABECC7AC19CBAB0,CDC018…BAB0
60362769,2026-04-27T14:07:59.349311859Z,68A393C7ED496871150C0A7CAD0CAC09B8E458FB,68A393…58FB
60362770,2026-04-27T14:08:01.457247013Z,943547CACB29C55797E121ACB4E586C49D9D39FD,943547…39FD
60362771,2026-04-27T14:08:02.246823466Z,16A169951A878247DBE258FDDC71638F6606D156,16A169…D156
60362772,2026-04-27T14:08:03.156574368Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362773,2026-04-27T14:08:04.027544585Z,0A70912D18E13D78CB32E6322A4E57F861E6C3C8,0A7091…C3C8
60362774,2026-04-27T14:08:04.843109897Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362775,2026-04-27T14:08:05.694243784Z,97AFE45395B74E784C88D45E5CCA2995019FAE08,97AFE4…AE08
60362776,2026-04-27T14:08:06.510313022Z,901FD122CC512EF13DE8E1A3D7953BFDDC0786D6,901FD1…86D6
60362777,2026-04-27T14:08:07.297045567Z,7341E970B9B3EFF82B2060D3469FC50D7AF04146,7341E9…4146
60362778,2026-04-27T14:08:08.19413134Z,C71EF3C044998473B4CECCAE99771976F198D4A5,C71EF3…D4A5
60362779,2026-04-27T14:08:12.834657801Z,17386B308EF9670CDD412FB2F3C09C5B875FB8B8,17386B…B8B8
60362780,2026-04-27T14:08:17.643117864Z,17386B308EF9670CDD412FB2F3C09C5B875FB8B8,17386B…B8B8
60362781,2026-04-27T14:08:18.725959606Z,7EDB006522610C58283E30644A14F27BCC0D32ED,7EDB00…32ED
60362782,2026-04-27T14:08:19.556009237Z,51D7D05A659208A6576190AEBBE8F07603851515,51D7D0…1515
60362783,2026-04-27T14:08:20.439028991Z,966FD89B1DB51535F2D898CF9B0F14DA374EFB96,966FD8…FB96
60362784,2026-04-27T14:08:21.419483419Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362785,2026-04-27T14:08:22.300600908Z,E08FBA0FE999707D1496BAAB743EAB27784DC1C5,E08FBA…C1C5
60362786,2026-04-27T14:08:23.319878098Z,F9A968A405FB0429410AE5165E5F2193271E678A,F9A968…678A
60362787,2026-04-27T14:08:25.335088746Z,C8969171F9B5A3354C712A20F007CDE0648C990F,C89691…990F
60362788,2026-04-27T14:08:26.157169671Z,06F45C36FCB957E55D923A6D4E905C2D715115AD,06F45C…15AD
60362789,2026-04-27T14:08:27.00784623Z,72B1489EFB57A680577A838A5BAAEBE162A7C802,72B148…C802
60362790,2026-04-27T14:08:27.951723403Z,9F8EC2EF581CE25630C819F19B5484039E748D1A,9F8EC2…8D1A
60362791,2026-04-27T14:08:28.762994309Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362792,2026-04-27T14:08:29.659688001Z,76F706AE73A8251652BC72CB801E4294E2135AFB,76F706…5AFB
60362793,2026-04-27T14:08:30.796145597Z,0F8C8B45D09F25CD279CFA53C01B9BA7A3FC616E,0F8C8B…616E
60362794,2026-04-27T14:08:31.818370568Z,95B002DE67707313D123D06492F1A7A58478E546,95B002…E546
60362795,2026-04-27T14:08:32.672521397Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362796,2026-04-27T14:08:33.496158995Z,AB55E9D9EA6B589C3E9EF7D84458285EC28CE5E9,AB55E9…E5E9
60362797,2026-04-27T14:08:34.406981753Z,26F7777BD52918AE71801022B0E2DEED97DDD504,26F777…D504
60362798,2026-04-27T14:08:39.002406298Z,26F7777BD52918AE71801022B0E2DEED97DDD504,26F777…D504
60362799,2026-04-27T14:08:39.895549285Z,19EC0A155A5BE755E76D0059EF730EBCA122B4F1,19EC0A…B4F1
60362800,2026-04-27T14:08:40.734657295Z,CDC018822747024BEAFD10A45ABECC7AC19CBAB0,CDC018…BAB0
60362801,2026-04-27T14:08:41.541128123Z,9CBEC8CBD4ED3AAD4BB2B0346EFC86A6C41F9160,9CBEC8…9160
60362802,2026-04-27T14:08:42.373229514Z,4B56B7D3FB47183A3CED7AE24C9AA0F0DEB0BB04,4B56B7…BB04
60362803,2026-04-27T14:08:46.038820113Z,4B56B7D3FB47183A3CED7AE24C9AA0F0DEB0BB04,4B56B7…BB04
60362804,2026-04-27T14:08:47.048504651Z,9D0281786872D3BBE53C58FBECA118D86FA82177,9D0281…2177
60362805,2026-04-27T14:08:49.047246819Z,17386B308EF9670CDD412FB2F3C09C5B875FB8B8,17386B…B8B8
60362806,2026-04-27T14:08:50.14698232Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362807,2026-04-27T14:08:51.035051616Z,99063B919404B6950A79A6A31E370378FE07020D,99063B…020D
60362808,2026-04-27T14:08:51.85857444Z,2022FE8CC49E48630C76160E11A880459219D244,2022FE…D244
60362809,2026-04-27T14:08:52.818170971Z,39327692C258A57970EF53F0AA4D3C00F95988B8,393276…88B8
60362810,2026-04-27T14:08:53.779837317Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362811,2026-04-27T14:08:54.638305138Z,D24B7A32413338C2AA26FC0016D91FBE73BB5EAE,D24B7A…5EAE
